water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,obsidian,obsidian,lava,lava,lava,lava,lava,obsidian,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,obsidian,obsidian,lava,lava,lava,lava,lava,obsidian,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grassstone1,grassstone1,grass,grass,grassstone2,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,dirtwall,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grassstone2,grassstone1,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grassstone2,grass,grass,grassstone1,grass,grass,grass,grass,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grassstone1,grassstone2,grass,grass,grass,grassstone2,grass,grassstone2,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grassstone1,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,obsidian,grassstone1,grass,grass,grass,grass,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grass,grass,grass,grassstone2,grass,grassstone2,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,water,water,water,water,water,water,water,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grassstone1,grass,grass,grassstone2,grassstone2,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grassstone2,grassstone1,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grassstone1,grass,grassstone1,grassstone1,grass,grass,grass,grassstone1,grass,grassstone1,grass,grassstone1,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,water,water,water,grass,grass,grass,grassstone1,grass,grass,grass,grassstone1,grass,grass,grass,grass,grassstone1,grass,grassstone2,grassstone2,grassstone1,grass,grass,grass,grassstone2,grassstone1,grassstone2,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grassstone2,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grassstone2,grass,grass,grass,grass,grassstone1,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grassstone1,grass,grass,grass,grassstone1,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grass,grass,grassstone1,grass,grassstone1,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,water,water,water,water,water,grass,grass,grass,grass,grass,grassstone1,grassstone1,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone1,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grassstone1,grass,grassstone2,grass,grassstone2,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grassstone1,grassstone2,grass,grassstone2,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grassstone2,grass,grassstone1,grass,grassstone1,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grassstone1,grass,grassstone2,grassstone1,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,grass,grass,grass,grass,grass,grass,grassstone2,grass,grassstone1,grassstone2,grass,grass,grassstone1,grass,grass,grass,grass,grassstone2,grass,grassstone2,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grassstone1,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grassstone1,grassstone2,grass,grass,grassstone1,grassstone1,grass,grass,grass,grass,grass,grass,grass,water,water,water,grass,grass,grass,grass,grass,grass,grassstone2,grassstone2,grassstone2,grass,grassstone1,grass,grassstone1,grassstone1,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grassstone1,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,grass,grass,grass,grass,grassstone1,grass,grass,grassstone1,grass,grass,grassstone1,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grassstone2,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1
water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,water,grass,grass,grass,grass,grass,grassstone2,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,dirtwall,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grassstone1,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,water,water,water,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grassstone2,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,dirtwall,grass,grass,grass,grass,grass,grass,grass,grass,grassstone2,grass,grass,grass,grassstone2,grass,grass,grassstone1,grass,grass
